Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,14/06/2024 20:00,Fußball Arena München,Germany,Scotland,Group A,5-1
2,1,15/06/2024 14:00,Stadion Köln,Hungary,Switzerland,Group A,1-3
3,1,15/06/2024 17:00,Olympiastadion,Spain,Croatia,Group B,3-0
4,1,15/06/2024 20:00,BVB Stadion Dortmund,Italy,Albania,Group B,2-1
5,1,16/06/2024 14:00,Volksparkstadion,Poland,Netherlands,Group D,1-2
6,1,16/06/2024 17:00,Arena Stuttgart,Slovenia,Denmark,Group C,1-1
7,1,16/06/2024 20:00,Arena AufSchalke,Serbia,England,Group C,0-1
8,1,17/06/2024 14:00,Fußball Arena München,Romania,Ukraine,Group E,3-0
9,1,17/06/2024 17:00,Frankfurt Stadion,Belgium,Slovakia,Group E,0-1
10,1,17/06/2024 20:00,Düsseldorf Arena,Austria,France,Group D,0-1
11,1,18/06/2024 17:00,BVB Stadion Dortmund,Türkiye,Georgia,Group F,3-1
12,1,18/06/2024 20:00,RB Arena,Portugal,Czechia,Group F,2-1
13,2,19/06/2024 14:00,Volksparkstadion,Croatia,Albania,Group B,2-2
14,2,19/06/2024 17:00,Arena Stuttgart,Germany,Hungary,Group A,2-0
15,2,19/06/2024 20:00,Stadion Köln,Scotland,Switzerland,Group A,1-1
16,2,20/06/2024 14:00,Fußball Arena München,Slovenia,Serbia,Group C,1-1
17,2,20/06/2024 17:00,Frankfurt Stadion,Denmark,England,Group C,1-1
18,2,20/06/2024 20:00,Arena AufSchalke,Spain,Italy,Group B,1-0
19,2,21/06/2024 14:00,Düsseldorf Arena,Slovakia,Ukraine,Group E,1-2
20,2,21/06/2024 17:00,Olympiastadion,Poland,Austria,Group D,1-3
21,2,21/06/2024 20:00,RB Arena,Netherlands,France,Group D,0-0
22,2,22/06/2024 14:00,Volksparkstadion,Georgia,Czechia,Group F,1-1
23,2,22/06/2024 17:00,BVB Stadion Dortmund,Türkiye,Portugal,Group F,0-3
24,2,22/06/2024 20:00,Stadion Köln,Belgium,Romania,Group E,2-0
25,3,23/06/2024 20:00,Frankfurt Stadion,Switzerland,Germany,Group A,1-1
26,3,23/06/2024 20:00,Arena Stuttgart,Scotland,Hungary,Group A,0-1
27,3,24/06/2024 20:00,Düsseldorf Arena,Albania,Spain,Group B,0-1
28,3,24/06/2024 20:00,RB Arena,Croatia,Italy,Group B,1-1
29,3,25/06/2024 17:00,Olympiastadion,Netherlands,Austria,Group D,2-3
30,3,25/06/2024 17:00,BVB Stadion Dortmund,France,Poland,Group D,1-1
31,3,25/06/2024 20:00,Stadion Köln,England,Slovenia,Group C,0-0
32,3,25/06/2024 20:00,Fußball Arena München,Denmark,Serbia,Group C,0-0
33,3,26/06/2024 17:00,Frankfurt Stadion,Slovakia,Romania,Group E,1-1
34,3,26/06/2024 17:00,Arena Stuttgart,Ukraine,Belgium,Group E,0-0
35,3,26/06/2024 20:00,Arena AufSchalke,Georgia,Portugal,Group F,2-0
36,3,26/06/2024 20:00,Volksparkstadion,Czechia,Türkiye,Group F,1-2
37,Round of 16,29/06/2024 20:00,BVB Stadion Dortmund,Germany,Denmark,,2-0
38,Round of 16,29/06/2024 17:00,Olympiastadion,Switzerland,Italy,,2-0
39,Round of 16,30/06/2024 20:00,Stadion Köln,Spain,Georgia,,4-1
40,Round of 16,30/06/2024 17:00,Arena AufSchalke,England,Slovakia,,2-1
41,Round of 16,01/07/2024 20:00,Frankfurt Stadion,Portugal,Slovenia,,0-0 (3-0)
42,Round of 16,01/07/2024 17:00,Düsseldorf Arena,France,Belgium,,1-0
43,Round of 16,02/07/2024 17:00,Fußball Arena München,Romania,Netherlands,,0-3
44,Round of 16,02/07/2024 20:00,RB Arena,Austria,Türkiye,,1-2
45,Quarter Finals,05/07/2024 17:00,Arena Stuttgart,Spain,Germany,,2-1
46,Quarter Finals,05/07/2024 20:00,Volksparkstadion,Portugal,France,,0-0 (3-5)
47,Quarter Finals,06/07/2024 20:00,Olympiastadion,Netherlands,Türkiye,,2-1
48,Quarter Finals,06/07/2024 17:00,Düsseldorf Arena,England,Switzerland,,1-1 (5-3)
49,Semi Finals,09/07/2024 20:00,Fußball Arena München,Spain,France,,2-1
50,Semi Finals,10/07/2024 20:00,BVB Stadion Dortmund,Netherlands,England,,1-2
51,Final,14/07/2024 20:00,Olympiastadion,Spain,England,,2-1
