Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,14/06/2024 19:00,Fußball Arena München,Germany,Scotland,Group A,3-0
2,1,15/06/2024 13:00,Stadion Köln,Hungary,Switzerland,Group A,
3,1,15/06/2024 16:00,Olympiastadion,Spain,Croatia,Group B,6-0
4,1,15/06/2024 19:00,BVB Stadion Dortmund,Italy,Albania,Group B,
5,1,16/06/2024 13:00,Volksparkstadion,Poland,Netherlands,Group D,
6,1,16/06/2024 16:00,Arena Stuttgart,Slovenia,Denmark,Group C,3-2
7,1,16/06/2024 19:00,Arena AufSchalke,Serbia,England,Group C,
8,1,17/06/2024 13:00,Fußball Arena München,Romania,Ukraine,Group E,
9,1,17/06/2024 16:00,Frankfurt Stadion,Belgium,Slovakia,Group E,5-4
10,1,17/06/2024 19:00,Düsseldorf Arena,Austria,France,Group D,
11,1,18/06/2024 16:00,BVB Stadion Dortmund,Türkiye,Georgia,Group F,
12,1,18/06/2024 19:00,RB Arena,Portugal,Czechia,Group F,
13,2,19/06/2024 13:00,Volksparkstadion,Croatia,Albania,Group B,
14,2,19/06/2024 16:00,Arena Stuttgart,Germany,Hungary,Group A,2-2
15,2,19/06/2024 19:00,Stadion Köln,Scotland,Switzerland,Group A,
16,2,20/06/2024 13:00,Fußball Arena München,Slovenia,Serbia,Group C,
17,2,20/06/2024 16:00,Frankfurt Stadion,Denmark,England,Group C,2-2
18,2,20/06/2024 19:00,Arena AufSchalke,Spain,Italy,Group B,
19,2,21/06/2024 13:00,Düsseldorf Arena,Slovakia,Ukraine,Group E,
20,2,21/06/2024 16:00,Olympiastadion,Poland,Austria,Group D,
21,2,21/06/2024 19:00,RB Arena,Netherlands,France,Group D,
22,2,22/06/2024 13:00,Volksparkstadion,Georgia,Czechia,Group F,
23,2,22/06/2024 16:00,BVB Stadion Dortmund,Türkiye,Portugal,Group F,
24,2,22/06/2024 19:00,Stadion Köln,Belgium,Romania,Group E,1-1
25,3,23/06/2024 19:00,Frankfurt Stadion,Switzerland,Germany,Group A,
26,3,23/06/2024 19:00,Arena Stuttgart,Scotland,Hungary,Group A,10-0
27,3,24/06/2024 19:00,Düsseldorf Arena,Albania,Spain,Group B,
28,3,24/06/2024 19:00,RB Arena,Croatia,Italy,Group B,
29,3,25/06/2024 16:00,Olympiastadion,Netherlands,Austria,Group D,
30,3,25/06/2024 16:00,BVB Stadion Dortmund,France,Poland,Group D,
31,3,25/06/2024 19:00,Stadion Köln,England,Slovenia,Group C,
32,3,25/06/2024 19:00,Fußball Arena München,Denmark,Serbia,Group C,
33,3,26/06/2024 16:00,Frankfurt Stadion,Slovakia,Romania,Group E,
34,3,26/06/2024 16:00,Arena Stuttgart,Ukraine,Belgium,Group E,
35,3,26/06/2024 19:00,Arena AufSchalke,Georgia,Portugal,Group F,
36,3,26/06/2024 19:00,Volksparkstadion,Czechia,Türkiye,Group F,
37,Round of 16,29/06/2024 16:00,Olympiastadion,England,2B,,
38,Round of 16,29/06/2024 19:00,BVB Stadion Dortmund,1A,2C,,
39,Round of 16,30/06/2024 16:00,Arena AufSchalke,1C,3D/E/F,,
40,Round of 16,30/06/2024 19:00,Stadion Köln,1B,3A/D/E/F,,
41,Round of 16,01/07/2024 16:00,Düsseldorf Arena,2D,2E,,
42,Round of 16,01/07/2024 19:00,Frankfurt Stadion,1F,3A/B/C,,
43,Round of 16,02/07/2024 16:00,Fußball Arena München,1E,3A/B/C/D,,
44,Round of 16,02/07/2024 19:00,RB Arena,1D,2F,,
45,Quarter Finals,05/07/2024 16:00,Arena Stuttgart,Winner Match 39,Winner Match 37,,
46,Quarter Finals,05/07/2024 19:00,Volksparkstadion,Winner Match 41,Winner Match 42,,
47,Quarter Finals,06/07/2024 16:00,Düsseldorf Arena,Winner Match 43,Winner Match 44,,
48,Quarter Finals,06/07/2024 19:00,Olympiastadion,Winner Match 40,Winner Match 38,,
49,Semi Finals,09/07/2024 19:00,Fußball Arena München,Winner Match 45,Winner Match 46,,
50,Semi Finals,10/07/2024 19:00,BVB Stadion Dortmund,Winner Match 47,Winner Match 48,,
51,Final,14/07/2024 19:00,Olympiastadion,Winner Match 49,Winner Match 50,,
